Lift,Load (Btu),Load (Tons),kW,kW/Ton,Load(%)
7.496200562,408.4190801,0.034034923,0,0,0.001361397
7.480987549,376.2879296,0.031357327,0,0,0.001254293
7.417739868,248.0423823,0.020670199,0,0,0.000826808
7.354488373,130.8703045,0.010905859,0,0,0.000436234
7.451583862,134.8642982,0.011238692,0,0,0.000449548
7.65247345,214.2080641,0.017850672,0,0,0.000714027
7.853363037,293.5518301,0.024462653,0,0,0.000978506
8.053684235,371.903799,0.030991983,0,0,0.001239679
8.246864319,437.7041738,0.036475348,0,0,0.001459014
8.440044403,503.4978474,0.041958154,0,0,0.001678326
8.633224487,569.3049235,0.047442077,0,0,0.001897683
8.826404572,638.2118719,0.053184323,0,0,0.002127373
8.961151123,640.0871512,0.053340596,0,0,0.002133624
9.06760788,610.1539899,0.050846166,0,0,0.002033847
9.174060822,579.6316416,0.048302637,0,0,0.001932105
9.296150208,577.0459362,0.048087161,0,0,0.001923486
9.478130341,684.5556522,0.057046304,0,0,0.002281852
9.660106659,793.7451077,0.066145426,0,0,0.002645817
9.842086792,904.6001108,0.075383343,0,0,0.003015334
9.86713028,1002.957911,0.083579826,0,0,0.003343193
9.827129364,926.2493594,0.077187447,0,0,0.003087498
9.787132263,819.6931498,0.068307762,0,0,0.00273231
9.747131348,715.460989,0.059621749,0,0,0.00238487
9.698925018,599.0349796,0.049919582,0,0,0.001996783
9.628952026,447.2495519,0.037270796,0,0,0.001490832
9.55897522,299.1244017,0.024927033,0,0,0.000997081
9.488998413,154.6594777,0.01288829,0,0,5.16E-04
9.665374756,13.98359006,0.001165299,0,0,4.6612E-05
9.928146362,81.83541475,0.006819618,0,0,0.000272785
10.1909256,179.7594065,0.014979951,0,0,0.000599198
10.4536972,277.6769213,0.023139743,0,0,0.00092559
10.71973801,381.1451248,0.031762094,0,0,0.001270484
10.9931488,497.120189,0.041426682,0,0,0.001657067
11.26655579,613.1017301,0.051091811,0,0,0.002043672
11.53741074,729.0832712,0.060756939,0,0,0.002430278
11.74736786,851.4252784,0.070952107,0,0,0.002838084
11.95732498,892.8915481,0.074407629,0,0,0.002976305
12.1672821,934.1229757,0.077843581,0,0,0.003113743
12.37724304,975.92868,0.08132739,0,0,0.003253096
12.63834381,1108.848173,0.092404014,0,0,0.003696161
12.99155045,1408.288813,0.117357401,0,0,0.004694296
13.34476089,1712.589386,0.142715782,0,0,0.005708631
13.67282867,2021.729331,0.168477444,0,0,0.006739098
13.84691238,2641.043414,0.220086951,0,0,0.008803478
14.02099228,3049.638099,0.254136508,0,0,0.01016546
14.36642456,3924.682971,0.327056914,0,0,0.013082277
